Ano,Mes,IdRegion,IdComuna,numerador_mujeres_50_69,denominador_poblacion_inscrita_validada_mujeres_50_69,comuna_master,cobertura_mamografia_pct
2025,12,13,13101,7452,33881,Santiago,21.99462825772557
2025,12,13,13102,1597,7186,Cerrillos,22.22376843863067
2025,12,13,13103,3930,15394,Cerro Navia,25.5294270494998
2025,12,13,13104,6139,15548,Conchalí,39.48417802932853
2025,12,13,13105,9470,21398,El Bosque,44.25647256752968
2025,12,13,13106,1639,11528,Estación Central,14.217557251908397
2025,12,13,13107,3795,9555,Huechuraba,39.71742543171114
2025,12,13,13108,4100,11358,Independencia,36.09790456066209
2025,12,13,13109,4876,9679,La Cisterna,50.377105072838106
2025,12,13,13110,12766,47441,La Florida,26.909213549461438
2025,12,13,13111,6313,17878,La Granja,35.311556102472316
2025,12,13,13112,6652,18551,La Pintana,35.85790523421918
2025,12,13,13113,2615,6893,La Reina,37.93703757435079
2025,12,13,13114,5515,16725,Las Condes,32.9745889387145
2025,12,13,13115,2968,9104,Lo Barnechea,32.60105448154657
2025,12,13,13116,3851,12509,Lo Espejo,30.78583419937645
2025,12,13,13117,4781,17335,Lo Prado,27.580040380732623
2025,12,13,13118,4809,17238,Macul,27.897667942916808
2025,12,13,13119,12019,48423,Maipú,24.820849596266235
2025,12,13,13120,3364,14858,Ñuñoa,22.641001480683805
2025,12,13,13121,5451,14887,Pedro Aguirre Cerda,36.61583932289918
2025,12,13,13122,7922,27061,Peñalolén,29.274601825505343
2025,12,13,13123,4066,12271,Providencia,33.1350338195746
2025,12,13,13124,7153,28509,Pudahuel,25.09032235434424
2025,12,13,13125,6253,21523,Quilicura,29.052641360405147
2025,12,13,13126,2638,12286,Quinta Normal,21.471593683867816
2025,12,13,13127,5639,16572,Recoleta,34.02727492155443
2025,12,13,13128,7206,16898,Renca,42.64409989347852
2025,12,13,13129,6415,12539,San Joaquín,51.160379615599325
2025,12,13,13130,4595,13495,San Miguel,34.049648017784364
2025,12,13,13131,3018,10228,San Ramón,29.507235041063744
2025,12,13,13132,2242,5764,Vitacura,38.89659958362248
2025,12,13,13201,5937,59837,Puente Alto,9.921954643448034
2025,12,13,13202,759,3295,Pirque,23.034901365705615
2025,12,13,13203,508,1352,San José de Maipo,37.573964497041416
2025,12,13,13301,5636,12842,Colina,43.88724497741785
2025,12,13,13302,2413,8302,Lampa,29.06528547337991
2025,12,13,13303,1307,1962,Tiltil,66.61569826707442
2025,12,13,13401,10072,31555,San Bernardo,31.918871811123434
2025,12,13,13402,5728,11306,Buin,50.663364585176005
2025,12,13,13403,1199,2534,Calera de Tango,47.316495659037095
2025,12,13,13404,4825,8401,Paine,57.433638852517554
2025,12,13,13501,5906,14648,Melipilla,40.3194975423266
2025,12,13,13502,505,888,Alhué,56.86936936936937
2025,12,13,13503,939,3207,Curacaví,29.279700654817585
2025,12,13,13504,1039,1982,Maria Pinto,52.42179616548941
2025,12,13,13505,553,1375,San Pedro,40.21818181818182
2025,12,13,13601,6392,7787,Talagante,82.08552716065238
2025,12,13,13602,1550,4041,El Monte,38.356842365751056
2025,12,13,13603,1901,4271,Isla de Maipo,44.50948255677827
2025,12,13,13604,5473,6807,Padre Hurtado,80.4025268106361
2025,12,13,13605,2949,10391,Peñaflor,28.380329130978733
